institution_id,location_id,enrollment,admission_rate,tuition_in_state,tuition_out_state,median_earnings_10yr,median_earnings_6yr,graduation_rate,median_debt,grad_median_debt,pct_pell_grant,pct_federal_loan,retention_rate,pct_female,pct_first_gen,poverty_rate,unemp_rate,pct_white,pct_black,pct_hispanic,pct_asian
100654,1,6124.0,0.5795,10024.0,18634.0,40628.0,27851.0,0.2403,16600.0,31000.0,0.6298,0.7454,0.6989,0.5640301318,0.3658280922,14.8800001144409,4.84000015258789,46.8400001525878,47.9799995422363,3.78999996185302,1.48000001907348
100663,1,11635.0,0.8818,9098.0,22562.0,54501.0,46572.0,0.6423,15832.0,22300.0,0.3402,0.4027,0.8009,0.6390907397,0.341223671,10.9099998474121,3.45000004768371,69.0199966430664,27.7600002288818,2.02999997138977,1.10000002384185
100690,1,241.0,,7590.0,7590.0,37621.0,30377.0,1.0,13385.0,32189.0,0.7655,0.8097,,0.6486486486,0.5125,10.6499996185302,3.59999990463256,70.8799972534179,22.5300006866455,6.94000005722046,1.28999996185302
100706,1,6591.0,0.6857,12132.0,26408.0,61767.0,55610.0,0.6429,13905.0,20705.0,0.2464,0.3255,0.8425,0.4763499372,0.3101321586,9.36999988555908,3.64000010490417,76.3799972534179,18.9799995422363,2.54999995231628,1.41999995708465
100724,1,3477.0,0.9755,11248.0,19576.0,34502.0,27453.0,0.3034,17500.0,31000.0,0.7134,0.742,0.6975,0.6134185304,0.3434343434,16.9599990844726,4.80999994277954,42.6899986267089,52.3199996948242,4.09000015258789,1.40999996662139
100751,1,33227.0,0.7665,12180.0,34172.0,59221.0,52233.0,0.7337,17986.0,22750.0,0.184,0.3239,0.8949,0.6152524168,0.2257126887,10.0500001907348,3.25999999046325,75.3499984741211,21.0599994659423,2.41000008583068,1.20000004768371
100760,1,1203.0,,5110.0,8980.0,33506.0,30739.0,0.3288,5500.0,9766.0,0.3183,0.1696,,0.6037383178,0.5496760259,13.5500001907348,3.75999999046325,71.5100021362304,26.8999996185302,1.00999999046325,0.2199999988079
100830,1,2542.0,0.9157,9700.0,20668.0,44391.0,38216.0,0.326,13119.0,25000.0,0.4235,0.4247,0.6757,0.6929480901,0.38189609,13.0,3.78999996185302,59.9700012207031,37.2099990844726,1.62000000476837,0.91000002622604
100858,1,26816.0,0.4592,12890.0,34922.0,65337.0,54629.0,0.8195,17750.0,21000.0,0.1253,0.2616,0.9478,0.531504671,0.1726471191,9.59000015258789,3.14000010490417,75.9000015258789,19.7999992370605,2.89000010490417,1.64999997615814
101028,1,1110.0,,5100.0,8970.0,36438.0,32196.0,0.3605,5900.0,10500.0,0.4025,0.2605,,0.611965812,0.4302670623,13.6899995803833,3.59999990463256,57.5299987792968,38.6800003051757,2.85999989509582,0.85000002384185
